Start Date,Start Time,End Date,End Time,Duration Hours,Month,Wind,Ice,OutageID,Days Since Last,Fastest 5-second Wind Speed (mph)
12/17/2016,,12/18/2016,,30,12,,,1,,
8/4/2017,2:30 PM,8/4/2017,9:00 PM,6.5,8,,,2,230,
6/29/2019,3:30 AM,6/29/2019,1:00 PM,9.5,6,,,3,694,35.1
6/5/2020,8:00 AM,6/5/2020,4:00 PM,8,6,,,4,342,12.1
9/30/2020,12:00 PM,9/30/2020,6:30 PM,6.5,9,,,5,117,33.1
10/16/2020,10:15 AM,10/16/2020,12:30 PM,2.25,10,,,6,16,17
11/15/2020,11:30 PM,11/16/2020,6:30 PM,19,11,,,7,30,62
6/21/2021,3:30 PM,6/22/2021,8:45 AM,17.25,6,,,8,218,36
8/12/2021,8:30 PM,8/13/2021,1:00 PM,16.5,8,,,9,52,25.9
2/3/2022,,2/6/2022,,80,2,1,1,10,175,18.1
2/11/2022,,2/11/2022,,1,2,1,,11,8,36.9
2/17/2022,5:30 AM,2/17/2022,9:30 AM,4,2,1,,12,6,52.1
6/19/2022,,6/19/2022,,2,6,,,13,122,21.9
12/23/2022,11:00 PM,12/24/2022,2:00 AM,3,12,1,,14,187,53
1/20/2023,9:30 AM,1/20/2023,10:05 AM,0.5,1,1,,15,28,45
3/25/2023,4:15 PM,3/25/2023,5:45 PM,1.5,3,,,16,64,55
7/13/2023,8:30 AM,7/13/2023,9:45 AM,1.5,7,,,17,110,38.9
1/9/2024,1:00 PM,1/9/2024,5:30 PM,4.5,1,,,18,180,52.1
5/6/2024,2:00 AM,5/6/2024,10:30 AM,8.5,5,,,19,118,
5/18/2024,11:00 PM,5/19/2024,6:00 AM,7,5,,,20,12,12.1
4/29/2025,5:00 PM,5/2/2025,7:30 PM,74,4,1,,21,346,53.9
