STATION,NAME,DATE,Fastest 5-second Wind Speed (mph)
USW00004827,"WASHINGTON CO AIRPORT, PA US",11/15/2020,62
USW00004827,"WASHINGTON CO AIRPORT, PA US",3/25/2023,55
USW00004827,"WASHINGTON CO AIRPORT, PA US",4/29/2025,53.9
USW00004827,"WASHINGTON CO AIRPORT, PA US",1/23/2018,53
USW00004827,"WASHINGTON CO AIRPORT, PA US",3/3/2020,53
USW00004827,"WASHINGTON CO AIRPORT, PA US",12/23/2022,53
USW00004827,"WASHINGTON CO AIRPORT, PA US",2/25/2019,52.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",1/11/2020,52.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",2/17/2022,52.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",4/1/2023,52.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",1/9/2024,52.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",11/27/2019,51
USW00004827,"WASHINGTON CO AIRPORT, PA US",4/8/2020,51
USW00004827,"WASHINGTON CO AIRPORT, PA US",10/31/2023,51
USW00004827,"WASHINGTON CO AIRPORT, PA US",11/1/2023,51
USW00004827,"WASHINGTON CO AIRPORT, PA US",4/4/2018,49
USW00004827,"WASHINGTON CO AIRPORT, PA US",2/9/2023,49
USW00004827,"WASHINGTON CO AIRPORT, PA US",4/15/2025,49
USW00004827,"WASHINGTON CO AIRPORT, PA US",3/29/2020,48.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",3/26/2021,48.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",3/28/2021,48.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",5/26/2021,48.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",3/7/2022,48.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",11/30/2022,48.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",3/4/2023,48.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",12/29/2024,48.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",2/12/2019,47
USW00004827,"WASHINGTON CO AIRPORT, PA US",6/4/2020,47
USW00004827,"WASHINGTON CO AIRPORT, PA US",2/21/2023,47
USW00004827,"WASHINGTON CO AIRPORT, PA US",1/12/2020,46.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",6/10/2020,46.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",11/20/2024,46.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",10/15/2017,45
USW00004827,"WASHINGTON CO AIRPORT, PA US",7/12/2020,45
USW00004827,"WASHINGTON CO AIRPORT, PA US",11/1/2020,45
USW00004827,"WASHINGTON CO AIRPORT, PA US",1/2/2021,45
USW00004827,"WASHINGTON CO AIRPORT, PA US",1/20/2023,45
USW00004827,"WASHINGTON CO AIRPORT, PA US",1/13/2024,45
USW00004827,"WASHINGTON CO AIRPORT, PA US",4/12/2018,44.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",1/1/2019,44.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",1/8/2019,44.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",1/30/2019,44.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",3/15/2019,44.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",10/31/2019,44.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",4/9/2020,44.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",3/18/2023,44.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",3/29/2023,44.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",2/15/2024,44.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",2/28/2024,44.1
USW00004827,"WASHINGTON CO AIRPORT, PA US",12/12/2024,44.1
